header,data,visibility,metainfo,main_part,text
"НЛМК и фонд ""Милосердие"" продвигают увлекательные образовательные проекты",19 марта 2024,3,"Бизнес и общество (b-soc.ru), Москва, 19 марта 2024","НЛМК и фонд ""Милосердие"" продвигают увлекательные образовательные проекты","Автор: Бачинская Татьяна
Образовательные проекты разного формата реализовал в трех регионах страны благотворительный фонд ""Милосердие"", социальный партнер группы НЛМК. Эти социальные инициативы открыли новые возможности для развития студентов, школьников и дошколят.
Студенты и школьники учатся спасать жизнь 
В Липецкой области более 2200 школьников и студентов стали участниками масштабного образовательного проекта ""Научись спасать жизнь"", который помог освоить навыки оказания первой помощи в экстренных ситуациях. Выездные практические тренинги провели в 34 учебных заведениях региона - школах, колледжах, техникумах и институтах. Профессиональные инструкторы медицинского центра обучали ребят, как проводить сердечно-легочную реанимацию и накладывать жгут для остановки кровотечения. Студенты узнали, что делать, если человек подавился, получил ожог или отморожение. Ребята разбирали примеры из собственной жизни и практики, запоминали алгоритм действий на учебном тренажере.
Детсадовцы играют в безопасное поведение дома и на улице 
В Заринске Алтайского края открыли креативное образовательное пространство, которое помогает в игровой форме обучать детей основам безопасного поведения на улице и дома. В помещении детского сада ""Березка"" обновили освещение, на стенах изобразили город с несколькими зонами, а на полу нарисовали проезжую часть, пешеходную зону и тротуары. На средства гранта фонда закупили игровое оборудование, мебель и ковровое покрытие, ноутбук, расходный материал для творчества. В результате появилась оригинальная студия, которую планируют использовать для регулярных занятий не только с дошколятами, но и с младшими школьниками.
Любители космоса изучают звезды и планеты, глядя в телескоп 
В Липецке около трехсот любителей звездного неба стали участниками научно-образовательного проекта ""Астролекторий"". В течение шести месяцев все желающие могли присоединиться к ночным лекциям-прогулкам, полюбоваться звездами и планетами и узнать много интересного о космосе. Фонд помог волонтерам приобрести телескоп и необходимые для наблюдений приспособления. Команда проекта также совершила астрономический автопоход и побывала в четырех обсерваториях Кавказа.
Будущие геологи осваивают добычу ископаемых по интерактивной карте 
Интерактивное образовательное пространство для популяризации знаний о геологии появилось в Старом Осколе. Экспозицию при поддержке фонда разместили в местном филиале Российского государственного геологоразведочного университета. Она включает интерактивную геологическую карту о главных горнодобывающих предприятиях страны, стенды строения Земли и временную ось эволюции планеты. Теперь любой студент легко сможет поднести планшет к полезному ископаемому - и на карте появятся его месторождения, а на экране - текстовая поясняющая информация.
Фото: БФ ""Милосердие"" 
"
Плановое отключение электроэнергии на 20 марта,19 марта 2024,3,"Официальный сайт городского округа Егорьевск (egoradmin.ru), Егорьевск, 19 марта 2024",Плановое отключение электроэнергии на 20 марта,"20 марта 2024 года в связи с плановыми ремонтными работами АО ""Мособлэнерго"" и ПАО ""Россети"" проведут отключение электроэнергии по следующим адресам в г. о. Егорьевск:
С 09:00 до 17:00
г Егорьевск, ул Советская - д. 174, 176, 160А
г Егорьевск, ул Октябрьская - д. 88-121
г Егорьевск, ул Калинина - д. 1-27
г Егорьевск, ул Бассейная - д. 1-13
г Егорьевск, ул Набережная - д. 8, 10, 47, 51А
С 09:00 до 18:00
д.Ширяевская
д.Батраки
д.Пантелеево
д.Данилово
д.Орлы
д.Назарово
д.Селиваниха
При внеплановых отключениях электроэнергии необходимо сообщать в Единый контактный центр ""Светлая линия"" ПАО ""Россети Московский регион"" по круглосуточному телефону: 8 (800) 700-40-70, либо на портал ""Светлая страна"" https://светлаястрана.рф/ 
"
"В КНЦ РАН при помощи ""ФосАгро"" создан центр по апатит-нефелиновым рудам",19 марта 2024,346,"РИА Новости, Москва, 19 марта 2024","В КНЦ РАН при помощи ""ФосАгро"" создан центр по апатит-нефелиновым рудам","МОСКВА, 19 мар - РИА Новости. Научно-исследовательский центр для изучения вопросов переработки труднообогатимых апатит-нефелиновых руд создан в Кольском научном центре РАН в Апатитах при поддержке ""ФосАгро"", сообщает компания. 
Создание центра предусмотрено соглашением о научно-техническом сотрудничестве между КНЦ РАН и ""ФосАгро"" от 2020 года, а также трехсторонним соглашением о взаимодействии, которое было подписано Минобрнауки РФ, КНЦ РАН и ""ФосАгро"" на полях ПМЭФ-2023. 
""Уникальная связь между промышленностью, передовыми российскими компаниями и академической наукой очень важна для экономической независимости страны и в целом для развития науки. Сегодня как никогда очень важно, чтобы научные исследования были востребованы и, в частности, крупными российскими компаниями. Проблема обогащения труднообогатимых апатит-нефелиновых руд сегодня крайне актуальна не только для компании ""ФосАгро"", но и для экономики страны в целом"", - приводятся в сообщении слова президента РАН Геннадия Красникова на церемонии открытия центра. 
Как отметили в ""ФосАгро"", целью исследований в новом научном комплексе станет достижение максимально возможного извлечения полезного компонента при стабильно высоком качестве апатитового концентрата на обогатительных фабриках Кировского филиала АО ""Апатит"" в условиях изменчивости минерального состава руды. 
Научно-исследовательский центр будет вести научно-прикладные исследования и формировать задания для привлечения к решению указанных задач профильных вузов, академических и отраслевых институтов. Кроме того, центр будет заниматься минералогическими исследованиями, разработкой оптимальных режимов рудоподготовки, составлением карты запасов руды и разработкой новых технологий использования флотационных реагентов. Планируется ежегодно проводить анализ не менее 100 технологических проб апатит-нефелиновой руды и 2500 проб на минералогический состав с обеспечением научной поддержки основных технологических процессов на производстве. 
В строительство и оснащение оборудованием нового здания центра ""ФосАгро"" направила около 500 миллионов рублей. 
""Уверен, что новый Научно-исследовательский центр позволит нам в многолетней перспективе гарантировать высокое качество продукции не только Кировского филиала АО ""Апатит"", поможет нам и впредь оставаться гарантом продовольственной безопасности России"", - подчеркнул генеральный директор ПАО ""ФосАгро"" Михаил Рыбников. 
В КНЦ РАН при помощи ФосАгро создан центр по апатит-нефелиновым рудам - РИА Новости, 1920, 19.03.2024
Похожие сообщения (1):
News2world.net, Москва, 19 марта 2024, В КНЦ РАН при помощи ФосАгро создан центр по апатит-нефелиновым рудам
"
В Апатитах открыли научно-исследовательский центр по изучению апатит-нефелиновых руд. Публикации СМИ.,19 марта 2024,58,"Первый канал (1tv.ru), Москва, 19 марта 2024",В Апатитах открыли научно-исследовательский центр по изучению апатит-нефелиновых руд. Публикации СМИ.,"НИЦ создали при поддержке ""Фосагро"".
АПАТИТЫ /Мурманская область/, 19 марта. /ТАСС/. Научно-исследовательский центр для изучения переработки труднообогатимых апатит-нефелиновых руд открылся во вторник в Кольском научном центре Российской академии наук (КНЦ РАН), передает корр. ТАСС.
""Связь между промышленностью, научными передовыми компаниями, академической и фундаментальной наукой очень важна для экономической независимости страны и в целом для развития науки. Сегодня, как никогда, очень важно, чтобы научные исследования, фундаментальные исследования были востребованы - востребованы именно такими компаниями, как""Фосагро"". Уверен, все задачи, которые стоят перед исследованиями труднообогатимых апатит-нефелиновых руд, здесь будут успешно решены"", - отметил президент РАН Геннадий Красников.
НИЦ создан при поддержке ""Фосагро"".
В новом научно-исследовательском центре будут проводить собственные научно-прикладные исследования и формировать задания для привлечения профильных высших учебных заведений, академических и отраслевых институтов для решения сложных междисциплинарных задач обогащения апатит-нефелиновых руд. Он также будет использоваться для проведения минералогических исследований, разработки оптимальных режимов рудоподготовки, составления карты запасов руды и разработки новых технологий использования эффективных и экологически безопасных флотационных реагентов. 
Похожие сообщения (4):
Муниципальное образование Город Курчатов (kurchatov.gosuslugi.ru), Курчатов (Курская обл.), 20 марта 2024, Открытие научно-исследовательского центра в Апатитах
Химический портал № 1 в России (chem.ru), Москва, 20 марта 2024, В Апатитах открыли научно-исследовательский центр по изучению апатит-нефелиновых руд.
НИА Федерация, Москва, 20 марта 2024, В Апатитах открыли научно-исследовательский центр по изучению апатит-нефелиновых руд
Advis.ru, Санкт-Петербург, 19 марта 2024, В Апатитах открыли научно-исследовательский центр по изучению апатит-нефелиновых руд.
"
"В МВД объяснили, как вор смог вынести из банка в Петербурге более 1 млрд рублей",19 марта 2024,-44,"Общественная служба новостей (osnmedia.ru), Москва, 19 марта 2024","В МВД объяснили, как вор смог вынести из банка в Петербурге более 1 млрд рублей","Автор: Романова Карина
Официальный представитель МВД Ирина Волк объяснила, что вор, похитивший из банковского хранилища деньги и ювелирные украшения, использовал наводку и современные технологии.
В своем Telegram-канале Волк написала, что о пропаже денег первым сообщил владелец одной из ячеек, позднее поступило еще одно заявление. По ее словам, злоумышленник использовал данные чужих банковских карт, с помощью которых и вскрыл ячейки.
В общей сложности фигурант дела похитил 450 тысяч долларов и 30 тысяч евро.
Волк отметила следующее: ""Нет, преступник не врывался туда с оружием и не требовал отдать ему наличность. Он воровал деньги из помещения, которое, казалось бы, должно быть максимально защищенным"".
Ранее сообщалось, что сотрудники полиции нашли в столичной съемной квартире тайник с украденными средствами из банка Санкт-Петербурга. Общая сумма достигает 1,6 миллиарда рублей. Подробнее об этом читайте в материале Общественной службы новостей.
"
"Ипотечная суббота от Банка ""Санкт-Петербург"" 23 марта 2024 года",19 марта 2024,9,"АСН Инфо (asninfo.ru), Санкт-Петербург, 19 марта 2024","Ипотечная суббота от Банка ""Санкт-Петербург"" 23 марта 2024 года","В предстоящие выходные, 23 марта 2024 г. с 11.00 до 17.00 Банк ""Санкт-Петербург"" приглашает всех, кто задумывается о решении квартирного вопроса, на Ипотечную субботу по адресу: г. Санкт-Петербург, ул. Большая Зеленина, д. 8 (станция метро ""Чкаловская""). 
В рамках Ипотечной субботы каждому, кто решится на важный шаг - ипотеку, эксперты Банка подберут наиболее подходящую программу, рассчитают комфортный платеж, а партнеры Банка окажут помощь в подборе недвижимости. Посетители Ипотечной субботы получат профессиональную консультацию об условиях стандартных программ БСПБ на приобретение недвижимости на первичном и вторичном рынках, загородной недвижимости, коммерческих объектах и о получении кредита под залог недвижимого имущества.
Итак, БСПБ ждет петербуржцев и гостей города 23 марта на Ипотечную субботу, где раскроет все секреты ипотеки. Если вопрос об ипотеке возник прямо сейчас, напоминаем, что в Центрах ипотечного кредитования Банка клиент всегда может получить весь спектр услуг, связанных с ипотечным кредитованием, проведением расчетов по сделкам с недвижимым имуществом. Ипотечные центры Банка - это новый формат для проведения ипотечных сделок. Все, что касается ипотечного кредитования, - от выбора объекта до подписания договора и получения кредита - можно оформить в одном месте.
""Банк ""Санкт-Петербург"" много лет работает с ипотекой и предлагает своим клиентам выгодные условия для приобретения недвижимости. Кроме того, специалисты Банка и эксперты компаний-партнеров готовы рассказать обо всех нюансах оформления сделок и о тонкостях выбора недвижимости всем заинтересованным посетителям мероприятия"", - отметила управляющий директор по ипотечному кредитованию Банка ""Санкт-Петербург"" Ксения Обухова. 
Новости Банка ""Санкт-Петербург""
"
ФосАгро построила новый Научно-исследовательский центр для ученых КНЦ РАН,19 марта 2024,1,"БезФормата Мурманск (murmansk.bezformata.com), Мурманск, 19 марта 2024",ФосАгро построила новый Научно-исследовательский центр для ученых КНЦ РАН,"ФосАгро построила новый Научно-исследовательский центр для ученых КНЦ РАН
В структуре Кольского научного центра Российской академии наук появился новый Научно-исследовательский центр, который займется изучением перспектив обогащения труднообогатимых апатит-нефелиновых руд. 
Компания ""ФосАгро"" завершила инвестпроект по созданию в Апатитах на базе Кольского научного центра Российской академии наук нового Научно-исследовательского центра для изучения переработки труднообогатимых апатит-нефелиновых руд. Его строительство было предусмотрено Соглашением о научно-техническом сотрудничестве, заключенным между РАН и компанией ""ФосАгро"" в 2020 году, а также трехсторонним соглашением о взаимодействии, которое было подписано Министерством науки и высшего образования РФ, Кольским научным центром Российской академии наук и компанией ""ФосАгро"" в июне 2023 года на полях Петербургского международного экономического форума. 
Инвестиционный проект включил в себя выполнение проектно-изыскательских работ и строительство нового здания Научно-исследовательского центра, а также его обеспечение лабораторным и опытно-промышленным оборудованием, мебелью и оргтехникой. Инвестиции в его реализацию составили около 500 млн рублей. Финансовое обеспечение инвестиционного проекта взяла на себя компания ""ФосАгро"". 
""Уверен, что новый Научно-исследовательский центр позволит нам в многолетней перспективе гарантировать высокое качество продукции не только Кировского филиала АО ""Апатит"", но и, как следствие, сохранить уникальные характеристики минеральных удобрений, выпускаемых компанией ""ФосАгро"", поможет нам и впредь оставаться гарантом продовольственной безопасности России"", - подчеркнул генеральный директор ФосАгро Михаил Рыбников в ходе торжественной церемонии открытия нового Научно-исследовательского центра. 
Ее участником стал президент Российской академии наук Геннадий Красников, который помимо этого провел в Апатитах совещание, посвященное перспективам развития Кольского научного центра РАН. 
""Уникальная связь между промышленностью, передовыми российскими компаниями и академической наукой, очень важна для экономической независимости страны и в целом для развития науки. Сегодня как никогда очень важно, чтобы научные исследования были востребованы и, в частности, крупными российскими компаниями. Проблема обогащения труднообогатимых апатит-нефелиновых руд сегодня крайне актуальна не только для компании ""ФосАгро"", но и для экономики страны в целом. И я уверен, что она здесь будет успешно решена"", - сказал президент Российской академии наук Геннадий Красников, обращаясь к участникам церемонии открытия нового Научно-исследовательского центра. 
Целью исследований, которые будут проводиться в новом научном комплексе, станет достижение максимально возможного извлечения полезного компонента при стабильно высоком качестве апатитового концентрата на обогатительных фабриках Кировского филиала АО ""Апатит"" в условиях изменчивости минерального состава руды. Для этого здесь планируется проведение анализа не менее 100 технологических проб апатит-нефелиновой руды и 2500 проб на минералогический состав ежегодно с обеспечением компетентной и высококвалифицированной научной поддержкой основных технологических процессов на производстве. 
Фото: ПАО ""ФосАгро"" 
Источник: ИА B-Port.Com 
"
"""Россети"" обеспечили электроэнергией горнолыжную трассу нового курорта в Северной Осетии",19 марта 2024,207,"ТАСС, Москва, 19 марта 2024","""Россети"" обеспечили электроэнергией горнолыжную трассу нового курорта в Северной Осетии","Мощность технологического присоединения составила 6 МВт
МОСКВА, 19 марта. /ТАСС/. ""Россети"" обеспечили электроэнергией горнолыжную трассу нового курорта ""Алания парк"" в Северной Осетии, говорится в сообщении группы. 
В компании уточнили, что всесезонный тематический парк развлечений запитан от одной из ключевых подстанций Владикавказа - подстанции 110 кВ ""Дауровой"". Это современный энергообъект, оснащенный высоконадежным оборудованием, микропроцессорными комплексами релейной защиты, автоматизированной системой управления. Мощность технологического присоединения, выполненного компанией ""Россети Северный Кавказ"" (входит в ""Россети"") составила 6 МВт. 
""Россети"" напомнили, что строительство курорта ""Алания парк"" - один из приоритетных проектов региона. Планируется создание всесезонного комплекса с различными спортивными зонами и аттракционами. Уже проложена горнолыжная трасса длиной 1,7 км с круглосуточным освещением и системой снегоподдержки. Общая протяженность этой трассы будет 1,8 км. На вершине склона установлено 42-метровое колесо обозрения. 
В свою очередь в Telegram-канале главы Республики Северная Осетия - Алания Сергея Меняйло отмечается, что в настоящее время проводится обустройство сервисного центра с зонами общепита, параллельно продолжается благоустройство территории. 
""Россети"" являются одной из крупнейших электросетевых компаний в мире. В состав группы входят 43 дочерних и зависимых общества, в том числе 16 распределительных сетевых компаний. В их числе ""Россети Центр"", ""Россети Центр и Приволжье"", ""Россети Московский регион"", ""Россети Ленэнерго"" и другие. 
Похожие сообщения (12):
Energyland.info, Екатеринбург, 20 марта 2024, ""Россети"" обеспечили электроэнергией горнолыжную трассу нового курорта ""Алания парк"" в Северной Осетии
БезФормата Владикавказ (vladikavkaz.bezformata.com), Владикавказ, 19 марта 2024, ""Россети"" обеспечили электроэнергией горнолыжную трассу нового курорта ""Алания парк"" в Осетии
IZKP.ru, Москва, 19 марта 2024, ""Россети"" обеспечили электроэнергией горнолыжную трассу нового курорта в Северной Осетии
Ossetia News (ossetia.news), Владикавказ, 19 марта 2024, ""Россети"" обеспечили электроэнергией горнолыжную трассу нового курорта ""Алания парк"" в Осетии
RusCable.Ru, Москва, 19 марта 2024, ""Россети"" обеспечили электроэнергией горнолыжную трассу нового курорта ""Алания парк"" в Северной Осетии
Рамблер/новости (news.rambler.ru), Москва, 19 марта 2024, ""Россети"" обеспечили электроэнергией горнолыжную трассу нового курорта в Северной Осетии
Россети Северный Кавказ (rossetisk.ru), Пятигорск, 19 марта 2024, ""Россети"" обеспечили электроэнергией горнолыжную трассу нового курорта ""Алания парк"" в Северной Осетии
Financial One (fomag.ru), Москва, 19 марта 2024, ""Россети"" обеспечили электроэнергией горнолыжную трассу нового курорта в Северной Осетии
ТАСС # Лента экономической и деловой информации, Москва, 19 марта 2024, ""Россети"" обеспечили электроэнергией горнолыжную трассу нового курорта в Северной Осетии
ТАСС # Федеральные округа России, Москва, 19 марта 2024, ""Россети"" обеспечили электроэнергией горнолыжную трассу нового курорта в Северной Осетии
Seldon.News (news.myseldon.com), Москва, 19 марта 2024, ""Россети"" обеспечили электроэнергией горнолыжную трассу нового курорта ""Алания парк"" в Северной Осетии
Дзен Новости (dzen.ru/news), Москва, 19 марта 2024, Площадку всесезонного тематического ""Алания парка"" подключили к электросетям
"
АртТочка. РУСАЛ. Бокситогорск,19 марта 2024,3,"Тихвин on-line (tikhvin.spb.ru), Тихвин, 19 марта 2024",АртТочка. РУСАЛ. Бокситогорск,"Бокситогорск
Попробовать себя в роли ди-джея, ведущего, граффитиста, а в будущем организовать кавер-группу или колесить по городам и весям в качестве стендапера? Для молодежи Бокситогорска это стало возможным благодаря победе в 2023 году проекта ""АртТочка"" в грантовом конкурсе ""Устойчивые города РУСАЛа"". 
Напомним, ""Устойчивые города РУСАЛ"" - грантовый конкурс для НКО, социальных предпринимателей, государственных и муниципальных учреждений социальной сферы. Организатор - Центр социальных программ РУСАЛа, созданный почти 20 лет назад по инициативе основателя компании Олега Дерипаски.
Проект ""АртТочка"" возглавляет заведующий отделом по работе с молодежью Центра культуры Бокситогорского района Илья Сумерин. Идейный вдохновитель и руководитель проекта ""АртТочка"" поделился с нами подробностями проекта.
- Почему вы приняли решение участвовать в грантовом конкурсе?
- Я увидел возможность предложить молодежи ранее не представленные в городе формы творчества и досуга. А также выйти на новый уровень молодежных мероприятий благодаря уличной сцене, которую планируем приобрести уже к этому лету.
- Несколько слов о формате проекта и главной цели?
- С командой придумали формат проекта в виде цикла творческих и обучающих мероприятий с массовым городским фестивалем, в качестве финальной точки.
Основной целью проекта ""АртТочка"" мы видим выявление и объединение молодежи Бокситогорска в творческие команды посредством новых форм досуга. В дальнейшем мы ставим более амбициозную задачу - это увлечь ребят творчеством настолько, чтобы они самостоятельно могли организовывать масштабные мероприятия с минимальным контролем с нашей стороны. Согласитесь, чем больше активистов среди молодых бокситогорцев, тем больше возможностей разнообразить жизнь в городе, ведь у каждого есть идеи, мечты, которое хочется превратить в реальность.
- Какие направления в реализации проекта вы берете за основные?
- У нас три блока - Граффити и дизайн, диджеинг и музыкальная культура, ораторское искусство и сценическая речь.
Спикеры трех направлений - практикующие специалисты соответствующих сфер: дизайнеры, режиссеры, диджеи и музыканты, актеры и продюссеры. К примеру, по направлению ""граффити и дизайн"" Данил Алфимов рассказал на личном примере как ""легализоваться"" уличному граффити-художнику и поработать с такими компаниями как Яндекс, а так же раскрыл секреты профессии и основы графики, композиции, цвета и шрифтов.
По направлению ""Диджеинг и музыкальная культура"", где ребята узнали, что и как делает диджей во время работы, что остается за кадром. А также гости познакомились с основными инструментами, программами и органами управления.
""Ораторское искусство и сценическая речь"" - под руководством опытного режиссера гости упражнялись в правильном дыхании, внятной и выразительной речи, постановке голоса на опору.
- Среди ребят вы видите заинтересованность в проекте?
- В рамках проекта прошло 8 мероприятий: первые два были направлены на знакомство ребят между собой и с уже существующими объединениями, а также знакомство с проектом и планом встреч в 2024 году. Могу сказать, что после наших активных, познавательных и позитивных встреч ребята уже проявляют интерес и инициативу к участию в итоговом мероприятии для города: кто-то хочет попробовать себя ведущим, кто-то планирует украсить мероприятие своим изобразительным искусством, а кто-то хочет попробовать себя в стендапе или даже создать музыкальную кавер-группу.
- Какие мероприятия пройдут в ближайшее время?
23.03 в 18:00 - Диджеинг и музыкальная культура
30.03 в 18:00 - Граффити и дизайн
Ждем всех желающих! С нами интересно!
Беседовала Анна Копрова 
"
"Мэр Череповца наградил генерального директора компании ""Северсталь менеджмент""",19 марта 2024,33,"Gorodvo.ru, Вологда, 19 марта 2024","Мэр Череповца наградил генерального директора компании ""Северсталь менеджмент""","И генерального директора авиапредприятия ""Северсталь"".
 Мэр города металлургов Вадим Германов наградил почетной грамотой генерального директора компании ""Северсталь менеджмент"" Александра Шевелева.
Как указано в постановлении о награждении, почетная грамота вручается Александру Анатольевичу ""за многолетний добросовестный труд, достижение высоких результатов в профессиональной деятельности и личный вклад в развитие металлургического производства"".
Кроме того, почетной грамотой мэра награжден и Николай Ивановский, генеральный директор ООО ""Авиапредприятие ""Северсталь"", - за вклад в развитие гражданской авиации и достижение высоких результатов в работе.
Помимо руководителей этих двух компаний, в списке награжденных находится еще более десятка череповчан - представители самых разных профессий, от истопника и электромонтера до учителя математики и балетмейстера.
Напомним, что в правительстве Вологодской области - очередная реформа. В Вологодской области не удалось выполнить план по снижению смертности населения. Опубликованы результаты выборов президента России на Вологодчине.
Региональное правительство продает древнегреческие шахматы, а также выставило на продажу топор, тюбетейку, чайный набор и другие предметы. Стало известно, кто выиграл третий автомобиль на президентских выборах в Вологде. Георгий Филимонов утвердил структуру нового департамента Вологодской области.
Похожие сообщения (3):
БезФормата Вологда (vologda.bezformata.com), Вологда, 19 марта 2024, Мэр Череповца наградил генерального директора компании ""Северсталь менеджмент""
Новости Вологды (vologda-news.net), Вологда, 19 марта 2024, Мэр Череповца наградил генерального директора компании ""Северсталь менеджмент""
Дзен Новости (dzen.ru/news), Москва, 19 марта 2024, Мэр Череповца наградил генерального директора компании ""Северсталь менеджмент""
"
