header,data,visibility,metainfo,main_part,text
В Норильском промрайоне идет активная работа по подготовке к весенним паводкам,24 мая 2024,2,"Russia24.pro, Москва, 24 мая 2024",В Норильском промрайоне идет активная работа по подготовке к весенним паводкам,"КРАСНОЯРСКИЙ КРАЙ, /НИА-КРАСНОЯРСК/. Промышленные объекты ""Норникеля"" готовят к весенним паводкам и пропуску талых вод. Основной акцент делается на гидротехнические сооружения и предприятия горнорудной отрасли, а также на территории, где возможно подтопление или сход лавин. Как рассказала заместитель главного инженера Заполярного филиала ""Норникеля"" - директор центра по надзору за гидротехническими сооружениями (ГТС) Надежда Лихарева, подготовительные работы перед оттепелью проводятся согласно разработанному плану по всем структурным подразделениям компании с середины апреля до середины мая. В их числе: расчистка и очистка водопропускных коллекторов и сооружений, очистка кровель зданий и других инженерно-технических сооружений от снега и наледи и другое. В противопаводковых мероприятиях по Норильскому дивизиону задействовано более 160 единиц тяжелой техники, все основные работы выполняются в срок. В настоящее время обеспечена готовность аварийно-спасательных формирований (оборудование, техника) для ликвидации нештатных ситуаций. Повышенное внимание приковано к реке Енисей. Ледоход в Дудинке в этом году ожидается ориентировочно 2 июня. ""С целью оперативных гидрологических и морфометрических наблюдений на реке Енисей организован круглосуточный мониторинг паводковой ситуации для обеспечения безопасного функционирования Дудинского морского порта. Кроме того, представители Заполярного филиала совместно с сотрудниками МЧС организовали авиамониторинг за прохождением кромки льда по Енисею, для того чтобы в дальнейшем суда компании отправить в безопасную зону"", - отметила Надежда Лихарева. Как ранее писало ""НИА-Красноярск"" в Дудинском морском порту осуществляется перемещение инфраструктуры на безопасную отметку. Активная работа ведется также на Надеждинском металлургическом заводе. По словам главного гидротехника НМЗ Андрея Стадника, производится очистка чаши хвостохранилища. На сегодняшний день уже вывезено примерно 600 тысяч кубов снега, еще осталось очистить примерно 400 тысяч кубических метров. В период паводка и пропуска талых вод специалисты завода и профильных служб Заполярного филиала будут вести постоянный мониторинг за рекой Далдыкан. ""Кроме того, как только сойдет снежный покров, специалисты контрольно-аналитического управления (КАУ) ЗФ ""Норникеля"" ежесменно будут производить отбор проб воды на определение ее состава - мы ожидаем естественный цвет реки Далдыкан. Безусловно, в период паводка и обильных осадков возможно изменение ее цвета в сторону красного спектра - за счет того, что она проходит по открытому грунту, и в нее могут попадать смывы отложений, накопленных в предыдущие периоды эксплуатации старых труб. Все профильные службы завода и всего Заполярного филиала готовы к оперативному реагированию и принятию всех необходимых мер при любых возможных осложнениях"", - отметил главный инженер НМЗ Максим Педанов. 
 Источник: ""НИА-Красноярск"" 
"
"""Норникель"" планирует построить завод по производству платины в Бахрейне",24 мая 2024,2,"Международная Ассоциация Фундаментостроителей (fc-union.com), Москва, 24 мая 2024","""Норникель"" планирует построить завод по производству платины в Бахрейне","""Норильский никель"" планирует построить в Бахрейне завод по производству платины. Также страны могут начать сотрудничество по ремонту российских судов, сообщил вице-премьер России Александр Новак в эфире Первого канала.
""Строительство завода в Бахрейне по производству платины компания ""Норильский никель"" планирует"", - сказал он.
""Есть проекты и договоренности, связанные с ремонтом российских судов на верфях Бахрейна"", - добавил Новак.
В Москве 23 мая состоялись переговоры президента РФ Владимира Путина с королем Бахрейна Хамадом бен Исой Аль Халифой. Сообщалось, что со стороны крупного бизнеса на переговорах с российской стороны присутствовали, в частности, глава ""Норникеля"" Владимир Потанин.
Как говорится в материалах Кремля, российские компании, в том числе ""Лукойл"", ""Татнефть"", ""Силовые машины"" и ""Юнигрин энерджи"", изучают возможность реализации проектов в Бахрейне. 
"
"Северсталь увеличивает количество инновационных технических решений, защищенных патентами",24 мая 2024,4,"Allmetals.ru, Москва, 24 мая 2024","Северсталь увеличивает количество инновационных технических решений, защищенных патентами","24/05/2024 06:01 
Северсталь"" развивает инженерные проекты и стимулирует разработку передовых технологий, подтверждая их новизну патентами. Компания увеличила годовой объем запатентованных разработок более чем в два раза за последние три года.
""Среди прямых партнеров по отрасли ""Северсталь"" наиболее развита в части защиты инновационных решений, разработанных нашими сотрудниками. Так, в 2023 году компания получила 77 патентов на изобретения. Мы намерены развивать это направление, вовлекать все производственные подразделения. С этой целью в текущем году изменили систему мотивации для авторов разработок, в том числе предоставив возможность значительного увеличения суммарного вознаграждения творческих коллективов в зависимости от величины экономического эффекта"", - отмечает директор по техническому развитию и качеству дивизиона ""Северсталь Российская сталь"" Петр Мишнев.
Среди примеров новых решений, успешно запатентованных в этом году, - технология изготовления сварных наконечников кислородно-конвертерной фурмы. Таким образом сотрудники ""Северстали"" заместили поставки высокопроизводительных расходных материалов зарубежного производства.
Эксперты разработали новую технологию, изменив конструктив деталей, что позволило улучшить охлаждение наконечника фурмы и увеличить его стойкость. В ходе расчетов и экспериментов команда вышла на параметры наконечников собственной разработки с интенсивностью продувки плавки 1400 кубометров кислорода в минуту. Средняя стойкость наконечников достигает 150 плавок. Установленный рекорд - 337 плавок. Авторский коллектив продолжает улучшать конструктив наконечника для повышения его средней стойкости и снижения затрат на производство стали. 
Похожие сообщения (1):
Seldon.News (news.myseldon.com), Москва, 24 мая 2024, Северсталь увеличивает количество инновационных технических решений, защищенных патентами
"
Новые прямые авиарейсы из Красноярска в курортный город Санья запускают с 29 июня,24 мая 2024,2,"Лента новостей Красноярска (krasnoyarsk-news.net), Красноярск, 24 мая 2024",Новые прямые авиарейсы из Красноярска в курортный город Санья запускают с 29 июня,"Новые прямые авиарейсы из Красноярска в курортный город Санья запускают с 29 июня
Выполнять их будут на самолетах Boeing 737-800 авиакомпании ""Россия"" группы ""Аэрофлот"".
Цены от 23 тысяч в туда и от 25 обратно .
Напомним, что это уже третий китайский город, связанный с нами прямым авиасообщением. Ранее полеты запустили в Пекин и Харбин.
Фото: Alexey Pereslavsev/rossiya-airlines 
Прислать новость | Подписаться на 7 канал
Источник: Telegram-канал ""7 канал Красноярск""
Новые прямые авиарейсы из Красноярска в курортный город Санья запускают с 29 июня
"
Исполнительным директором Wildberries станет Ольга Наумова,24 мая 2024,46,"Retail.ru, Москва, 24 мая 2024",Исполнительным директором Wildberries станет Ольга Наумова,"Бывший топ-менеджер ""Магнита"" и X5 Group Ольга Наумова в июне займет должность одного из исполнительных директоров в составе правления Wildberries, пишут ""Ведомости"" со ссылкой на представителя маркетплейса. 
Источник: Retail.ru 
В новой должности Ольга Наумова будет заниматься улучшением операционной эффективности складской и транспортной логистики, развитием сети пунктов выдачи заказов и улучшением клиентского опыта. Известно также, что Татьяна Бакальчук останется генеральным директором Wildberries. Общее число исполнительных директоров в составе правления не сообщается. 
Источник издания пояснил, что Wildberries планирует развивать не только основной бизнес, но и другие направления. Кросс-индустриальный опыт Ольги Наумовой в федеральном и региональном ритейле позволит сделать Wildberries еще более удобной, функциональной площадкой для пользователей и поможет повысить прибыльный рост компании, добавил он. 
Ольга Наумова занимала руководящие должности в целом ряде крупнейших ритейл-сетей России. В 2013 году она возглавила ""Пятерочку"" (входит в X5 Group), в 2018 году стала генеральным директором ""Магнита"", а в 2022 году - главой ""Русской рыбопромышленной компании"" (одного из лидеров российской рыболовецкой отрасли). 
Похожие сообщения (1):
The Dairy news (dairynews.today), Москва, 24 мая 2024, Исполнительным директором Wildberries станет Ольга Наумова
"
"Роснефть. Ждем рекомендации по дивидендам - Технический анализ на БКС Экспресс, 24.05.2024",24 мая 2024,-12,"БКС Экспресс (bcs-express.ru), Москва, 24 мая 2024","Роснефть. Ждем рекомендации по дивидендам - Технический анализ на БКС Экспресс, 24.05.2024","Акции Роснефти на прошлой торговой сессии упали на 0,62%. Цена на закрытии составила 593,15 руб. Бумаги торговались хуже рынка. Объем торгов достиг 2,1 млрд руб.
Краткосрочная картина
• В четверг акции торговались с низкой волатильностью под уровнем сопротивления 597,5. Информация с заседания совета директоров еще не опубликована. Возможно, рекомендации по размеру дивидендов появятся уже сегодня. Аналитики БКС ждут финальной выплаты в размере 29 руб. на акцию. Событие может принести волатильность в котировки. 
• Техническая картина часового графика в боковике. В случае прохода выше 597,5 дорога откроется к следующим целям 609,3-612,3. 
• На дневном графике кривая RSI на отметке 57 п. На 4-часовом графике акции выше 50- и 200-дневной скользящей средней. В первую очередь следим за уровнями сопротивления и поддержки: 597,5 и 580,1.
• Учитываем, что за счет пробоя 595,7 дорога открылась к целям роста из долгосрочной картины. 
Внешний фон
Внешний фон с утра нейтральный. Фьючерс на индекс S&P 500 растет на 0,1%. Индексы АТР торгуются преимущественно в красной зоне. Нефть Brent в плюсе на 0,1%.
Уровни сопротивления: 597,5 / 600 / 607,8 Уровни поддержки: 580,1 / 572 / 565,6
Долгосрочная картина
• Роснефть - крупнейшая российская вертикально интегрированная нефтяная компания. 
• Текущие цели падения - 553,8-557,7 (выполнены). Условия отмены снижения с текущих цен смотрим в краткосрочной картине.
• На недельном графике долгосрочные безопасные цели роста - 624-637,3. Сценарий подъема актуален, пока нет слома минимума 535,5. Первым риском для структуры роста будет слом поддержки 572. 
• В долгосрочной картине нужно смотреть на закрытие недельной свечи под конец торгов пятницы. 
"
В Норильске ремонт детсада в Кайеркане завершат уже в конце июля,24 мая 2024,2,"Северный край (severokrai.ru), Норильск, 24 мая 2024",В Норильске ремонт детсада в Кайеркане завершат уже в конце июля,"Детсад на Первомайской, 4 в Кайеркане не узнать: здание заново обшито, внутри заменили коммуникации, идет чистовая отделка, а стены окрашиваются забавными и милыми картинками. Уже в конце июля работы в садике завершат полностью, сообщили в ЗФ ""Норникеля"". Напомним, что компания финансирует модернизацию объекта в рамках комплексного плана социально-экономического развития Норильска.
В данный момент в помещениях одновременно на всех этажах устанавливают светильники, розетки, занимаются чистовой отделкой полов. Как только стена готова, к делу приступают художники Антон Спирякин и Дмитрий Муртазин -их пригласили из Красноярска, чтобы оформить 9 различных панно в трафаретной технике.
- На каждую группу, в зависимости от возраста воспитанников разработаны свои панно. Для ребят из младших групп используется меньшее количество цветов, для старших большее - в общей сложности до 10 цветов. В среднем на одну стену уходит от 12 до 14 часов работы. Цикл включает в себя грунтование, разметку стены, каркас рисунка и заполнение ядер в два-три слоя. В спальнях используем пастельные тона, чтобы дети не фокусировались на рисунках и сладко спали, - пояснил Андрей Спирякин.
Роспись стен завершат уже в ближайшие дни, а подрядчикам еще предстоит заняться благоустройством прилегающей территории.
"
Приморцы смогут долететь до Санкт-Петербурга прямым рейсом,24 мая 2024,6,"ДВ Капитал (dvkapital.ru), Владивосток, 24 мая 2024",Приморцы смогут долететь до Санкт-Петербурга прямым рейсом,"Определиться с профессиональными предпочтениями помогут приморцам на марафоне трудоустройства 
 Стартовали продажи билетов ""Аэрофлота"" на прямые рейсы Санкт-Петербург - Владивосток. Полеты будут выполняться в пиковый период летнего сезона, начиная с 16 июня.
Правительство Приморского края сообщает, что, как сообщили в пресс-службе ""Аэрофлота"", в летнем расписании запланировано три рейса в неделю по маршруту Санкт-Петербург - Владивосток - Санкт-Петербург: по средам, пятницам и воскресеньям. Жители Дальневосточного федерального округа смогут приобрести билеты в том числе и по субсидированному тарифу. 
С актуальным расписанием можно ознакомиться на сайте авиакомпании. Забронировать и купить билеты можно на сайте и в мобильном приложении ""Аэрофлота"", по круглосуточным телефонам центра информации и бронирования: +7-495-223-5555 (Москва), 8-800-444-5555 (звонок по России бесплатный), *555 (для мобильных телефонов), в офисах собственных продаж авиакомпании и у агентов. 
По материалам пресс-службы ""Аэрофлота"" 
Новости раздела
Приморцы смогут долететь до Санкт-Петербурга прямым рейсом
Торговые сети Приморья ""держат"" цены
Современный центр креативных индустрий создадут в столице Приморья
Владимир Путин отметил высокую динамику роста Приморья в рейтинге качества жизни
Почти 11 тысяч китайских туристов посетили Приморье за майские праздники
Юбилейный Конгресс народов Приморья состоится в июне 
Открытие прямого авиарейса между Приморьем и Гуанчжоу обсудили на международной выставке 
Лесной пожар тушат в Лазовском округе Приморья
Почти на 80% готов путепровод в районе приморского Кипарисово
Королевские гробницы и храмы, живописные горы и водопады увидят туристы из Приморья в КНДР 
"
"Исполнительным директором Wildberries назначена экс-топ-менеджер ""Магнита""",24 мая 2024,292,"Аргументы и Факты (aif.ru), Москва, 24 мая 2024","Исполнительным директором Wildberries назначена экс-топ-менеджер ""Магнита""","Автор: Мельникова Виктория
Москва, 24 мая - АиФ-Москва. 
Руководство Wildberries назначило нового исполнительного директора компании. Им стала Ольга Наумова, которая ранее занимала пост топ-менеджера ""Магнита"", указано в пресс-релизе.
Женщина также станет частью правления компании. В обязанности Наумовой войдет улучшение операционной эффективности и транспортной логистики Wildberries. Кроме того, она займется развитием сети пунктов выдачи заказа. Также будут реализованы процессы по улучшению ""клиентского опыта"".
Информацию прокомментировала генеральный директор компании Татьяна Бакальчук. По ее словам, Wildberries намерен развивать основной бизнес и имеет множество планов на будущее.
Напомним с 2018 по 2019 год Наумова возглавляла торговую сеть ""Магнит"". На фоне разногласий по стратегии ведения бизнеса она покинула компанию.
В 2022-м Наумова встала во главу Русской рыбопромышленной компании. На прошлой неделе стало известно о ее увольнении.
Ранее сообщалось, что Wildberries после предупреждения ФАС упростил условия работы продавцов. Так, теперь введена фиксация тарифов на хранение товаров на складе. 
Artem Priakhin/Keystone Press Agency /  www.globallookpress.com 
Похожие сообщения (5):
Kherson.life, Херсон, 24 мая 2024, Исполнительным директором Wildberries назначена экс-топ-менеджер ""Магнита""
Smitop.ru, Москва, 24 мая 2024, Исполнительным директором Wildberries назначена экс-топ-менеджер ""Магнита""
Все новости (all-news.net), Москва, 24 мая 2024, Исполнительным директором Wildberries назначена экс-топ-менеджер ""Магнита""
Городской портал (gorodskoyportal.ru), Москва, 24 мая 2024, Исполнительным директором Wildberries назначена экс-топ-менеджер ""Магнита""
RSS+ (rss.plus), Москва, 24 мая 2024, Исполнительным директором Wildberries назначена экс-топ-менеджер ""Магнита""
"
Норникель планирует построить завод по выпуску платины в Бахрейне для решения проблемы отказа от российского металла - Ъ,24 мая 2024,8,"Smartlab.news, Москва, 24 мая 2024",Норникель планирует построить завод по выпуску платины в Бахрейне для решения проблемы отказа от российского металла - Ъ,"Автор: Eduard_x
""Норникель"", четвертый в мире производитель платины, может начать выпуск металла в Бахрейне. Договоренности могли быть достигнуты на переговорах президента Владимира Путина с королем Бахрейна. Предполагается создание совместного предприятия с местным партнером для решения проблемы отказа части потребителей от российского металла.
23 мая президент Владимир Путин и король Бахрейна обсудили перспективы сотрудничества в торгово-экономической и энергетической сферах. В переговорах участвовал глава ""Норникеля"" Владимир Потанин. Вице-премьер РФ Александр Новак сообщил, что ""Норникель"" планирует строительство завода по выпуску платины в Бахрейне, но подробности проекта не уточнил.
В 2023 году ""Норникель"" увеличил производство платины на 2%, до 664 тыс. унций. Из иностранных активов у компании есть завод в Финляндии. В ноябре 2023 года ""Норникель"" передал 50% в предприятии в ЮАР местному партнеру.
Источник ""Ъ"" полагает, что планы по строительству завода в Бахрейне связаны с отказом ряда потребителей от российского металла. В марте руководитель сбытового дивизиона ""Норникеля"" Антон Берлин говорил о необходимости перестройки системы сбыта из-за внешних ограничений и отказа европейских покупателей от российских металлов. В апреле Владимир Потанин сообщил, что ""Норникель"" перенесет медеплавильное производство в Китай. 
Проект завода в Бахрейне может быть реализован с учетом возможности улучшения отношений России и Бахрейна и надеждой на то, что ЕС не позволит США ввести санкции на поставщика важного для автопрома материала.
Источник: www.kommersant.ru/doc/6715629?from=doc_lk 
Похожие сообщения (2):
Investinfo.pro (investinfo.pro), Москва, 24 мая 2024, Норникель планирует построить завод по выпуску платины в Бахрейне для решения проблемы отказа от российского металла - Ъ
Smart SMI (smart-smi.ru), Москва, 24 мая 2024, Норникель планирует построить завод по выпуску платины в Бахрейне для решения проблемы отказа от российского металла - Ъ
"
Объявлено о запуске полетов из Красноярска в третий город Китая Санью,24 мая 2024,46,"7 канал Красноярск, Красноярск, 24 мая 2024",Объявлено о запуске полетов из Красноярска в третий город Китая Санью,"Новые прямые рейсы из Красноярска в курортный город Санья запускают с 29 июня. Об этом рассказали в авиагруппе ""Аэрофлот"", взявшей на себя обязательства по перевозке пассажиров. 
Выполнять полеты на китайский остров Хайнань планируют на самолетах Boeing 737-800 авиакомпании ""Россия"" трижды в неделю - по понедельникам, четвергам и субботам. 
Стоимость прямого перелета в одну сторону без багажа начинается от 23,6 тысяч рублей. 
Вернуться назад можно во вторник, пятницу и воскресенье, но стоить это будет дороже - от 25 тысяч. 
Отметим, что Санья уже третий город в Китае, который собираются связать с Красноярском авиасообщением. Сейчас от нас самолеты уже отправляют в Пекин и Харбин. 
 Подробнее о всех доступных направлениях полетов из Красноярска мы рассказывали отдельно. Всего из Красноярска без пересадок можно отправиться в 9 стран.
Похожие сообщения (3):
Лента новостей Красноярска (krasnoyarsk-news.net), Красноярск, 24 мая 2024, Объявлено о запуске полетов из Красноярска в третий город Китая Санью
БезФормата Красноярск (krasnoyarsk.bezformata.com), Красноярск, 24 мая 2024, Объявлено о запуске полетов из Красноярска в третий город Китая Санью
Russia24.pro, Москва, 24 мая 2024, Объявлено о запуске полетов из Красноярска в третий город Китая Санью
"
"Экс-топ-менеджер ""Магнита"" войдет в состав правления Wildberries",24 мая 2024,64,"Adindex (adindex.ru), Москва, 24 мая 2024","Экс-топ-менеджер ""Магнита"" войдет в состав правления Wildberries","Экс-топ-менеджер ""Магнита"" войдет в состав правления Wildberries
Состав правления Wildberries изменится, после того как одним из исполнительных директоров станет Ольга Наумова, бывший топ-менеджер ""Пятерочки"", ""Магнита"", ""Соллерс"", говорится в официальном сообщении пресс-службы маркетплейса.
Она станет частью команды с июня 2024 г. Наумова будет отвечать за улучшение операционной эффективности складской и транспортной логистики, развитие сети пунктов выдачи заказов (ПВЗ), совершенствование клиентского опыта.
""Уверена, что кросс-индустриальный опыт Ольги в федеральном и региональном ритейле позволит нам сделать Wildberries еще более удобной, функциональной площадкой для наших пользователей и поможет повысить прибыльный рост компании"", - поясняет гендиректор Wildberries Татьяна Бакальчук.
Это будет первый случай в компании, когда на такую должность возьмут наемного сотрудника.
Еще материалы
Дмитрий Лазарев возглавил сеть ""585*Золотой""
Новым главой маркетинга ""Валента Фарм"" стал Михаил Глухов
Бывший топ-менеджер ""Русагро"" и McKinsey возглавит ""Магнит""
Сооснователь OpenAI Илья Суцкевер покинул компанию 
Руководитель розничного бизнеса ""Открытия"" перешел в ""Сбер""
Metro назначил в РФ нового операционного директора 
"
"На форуме ЦИПР-2024 наиболее ответственными показали себя ""капитаны индустрии"" частного бизнеса",24 мая 2024,64,"ИА 1-LINE, Красноярск, 24 мая 2024","На форуме ЦИПР-2024 наиболее ответственными показали себя ""капитаны индустрии"" частного бизнеса","Главным деловым мероприятием на форуме ""Цифровая индустрия промышленной России 2024"" в Нижнем Новгороде стала пленарная сессия. 
 Дискуссию под девизом ""Технологическая независимость промышленной России"" открыл выступлением председатель Правительства Российской Федерации Михаил Мишустин.
Премьер-министр напомнил участникам сессии, что президент РФ утвердил новые национальные цели развития, одна из которых направлена на цифровую трансформацию госуправления, экономики и социальной сферы. Добиться этого, по мнению Мишустина, можно за счет широкого применения:
 • больших данных,
 • искусственного интеллекта,
 • интернета вещей.
К 2030 году 80% всех предприятий должны, согласно поручению президента перейти на российский софт, прежде всего в системах управления ресурсами и производством, отметил глава правительства: 
""Задачи очень масштабные, и, конечно, они требуют скоординированных действий и предпринимателей, и государства. Необходимая база для их выполнения есть"". 
Участвовавшие в заседании в качестве экспертов и содокладчиков председатели профильных индустриальных центров компетенций (ИЦК) рассказали, как идет процесс перехода на отечественные системы цифровых технологий, где, на их взгляд, этот процесс можно ускорить, устранив выявленные препоны, а где лучше не форсировать, чтобы ради красивых рапортов президенту не поставить под угрозу предприятия, здоровье и безопасность людей.
Интересно, что наиболее взвешенный и глубокий подход продемонстрировали на пленарной сессии представители частного бизнеса, которые в отсутствие председателя своего профильного ИЦК, объединившего более 2/3 всех металлургических предприятий страны, рассказали, как обстоят дела с цифровизацией и ее импортозамещением в этой отрасли.
Генеральный директор холдинга ""Севергрупп"" Алексей Мордашов в своем выступлении оценил внедрение российских IT-решений на предприятиях отрасли в 35%, что явно недостаточно. Хотя многие классы программного обеспечения, которые уже разработаны, потенциально могут войти в категорию
 значимых объектов критической информационной инфраструктуры.
""Основные направления импортозамещения в металлургии сегодня составляют проекты по трем классам программного обеспечения, - пояснил Алексей Мордашов. - Первый - системы управления производством. Это 6 проектов с совокупным объемом инвестиций от трех компаний - ""Норникель"", ""МеталлИнвест"" и ""Северсталь"" в размере 7,8 млрд рублей, включая полмиллиарда рублей государственного гранта. Второй - системы управления активами, ремонтами, техническим обслуживанием оборудования. Это один проект стоимостью полмиллиарда рублей от компании Северсталь. И третье направление - управление цепочками поставок. Это тоже один проект объемом 1,5 млрд рублей и тоже ""Северсталь"", включая 600 миллионов рублей грантовой поддержки"". 
Глава холдинга ""Севергрупп"" отметил, что, несмотря на использование грантов, подавляющее большинство проектов в ИЦК ""Металлургия"" реализуется за счет собственных средств заказчиков. Доля их финансирования составляет около 90%. По сути, пока единственным случаем получения денег от государства у металлургов, стал упомянутый грант в 600 млн, полученный ""Северсталью"". 
Алексей Мордашов подчеркнул, что в разработке и внедрении отечественного софта участники ИЦК ""Металлургия"" тесно и взаимовыгодно взаимодействуют. ""Норникель"", ""МеталлИнвест"" и ""Северсталь"" выступают ""якорными"" заказчиками, но в каждом продукте есть и компании-созаказчики. Например, ""Норникель"" разрабатывает линейку продуктов для горного передела компании ""МАГМА"", где созаказчиками выступают ""Алроса"", ""Мечел"", ""Полюс"", ""ОГМК"", ""ФосАгро"", ""Еврохим"". Системы ""Северстали"" представляют интерес для ""Евраза"", ""ТМК"", ""ВСМПО-Ависма"", ""ОГМК"" и ""Мечела"".
Продолживший тему после выступления коллеги президент ""Норникеля"" Владимир Потанин компактно изложил направления и задачи ""перецифровизации"" производства с уже применяемых зарубежных программных решений, которые становятся все менее доступными, из-за отказа многих вендоров работать с Россией, на отечественные цифровые продукты. 
""Совместно с Минцифры и Росстатом мы пришли к решению о создании единой удобной для бизнеса ""витрины данных"". Это уже начинает носить межотраслевой характер, и нужно создать центр компетенций, который бы такую межотраслевую координацию проводил. Не все компании обладают возможностями самостоятельно разрабатывать для себы программные продукты, поэтому мы передаем плоды работы над нашими IT-проектами в руки независимых вендоров, а впоследствии думаем над созданием цифровой платформы, на которой могли бы общаться и вендоры, и пользователи и справедливо делить роялти. А с другой стороны это позволит сформировать запрос на новые потребности отрасли"", - сказал президент ""Норникеля"".
Еще один интересный вопрос обозначил Владимир Потанин - применение локальных ""самописных"" малых программных решений, которые есть в каждой крупной компании, но не выходят за ее пределы:
""Они не очень хорошо задокументированы (или вообще не задокументированы), но по факту являются как раз тем самым импортозамещением. Я бы предложил в тех случаях, когда эти решения не подлежат коммерциализации и распространению, а работают только индивидуально для конкретной компании, сильно облегчить процесс лицензирования"". 
И самое главное, на чем сделали акцент именно представители бизнеса, - это разумность и целесообразность импортозамещения в IT-сфере. На настоящий момент на предприятиях, в учреждениях и организациях России успешно работает масса дорого импортного ""софта"" и ""железа"". Его замена сейчас обойдется еще дороже, чем недавно приобретение. Поэтому замещение цифровых решений, по мнению Владимира Потанина, не должно носить характер шумной кампании ради победных рапортов вышестоящему начальству:
""Есть категория ресурсов, ""железо"" по которым предприятия уже закупили, от влияния вендоров освободились и способны самостоятельно безопасно поддерживать работу. Нередко это вписано в серьезный технологический процесс, например, является частью газопровода, на котором без коренной модернизации или реконструкции объекта датчики не заменишь. Поэтому там, где компаниям удастся доказать, что импортное оборудование функционирует безопасно и без недружественного влияния, надо дать возможность амортизировать прошлые инвестиции"". 
Подпишитесь: 
 Telegram 
0026.JPG
3N9A8193.jpg
0092.JPG
"
